날짜,종가,거래량,내용,본문백분위,삼성전자 주가백분위
2023-08-02,69900,13835020,27,2.4,4.929478138222849
2023-08-03,68800,20087090,37,3.288888888888889,4.8519040902679835
2023-08-04,68300,12360193,23,2.0444444444444447,4.816643159379408
2023-08-07,68500,10968505,37,3.288888888888889,4.830747531734838
2023-08-08,67600,14664709,124,11.022222222222222,4.767277856135402
2023-08-09,68900,17259673,63,5.6000000000000005,4.858956276445698
2023-08-10,68000,10227311,33,2.933333333333333,4.795486600846263
2023-08-11,67500,9781038,30,2.666666666666667,4.760225669957687
2023-08-14,67300,9352343,41,3.644444444444445,4.746121297602256
2023-08-16,67000,13174578,140,12.444444444444445,4.724964739069112
2023-08-17,66700,10778652,22,1.9555555555555555,4.703808180535966
2023-08-18,66300,11745006,58,5.155555555555556,4.675599435825106
2023-08-21,66600,9720067,52,4.622222222222222,4.696755994358251
2023-08-22,66600,10500242,62,5.511111111111111,4.696755994358251
2023-08-23,67100,9549352,60,5.333333333333334,4.7320169252468265
2023-08-24,68200,15044463,52,4.622222222222222,4.809590973201693
2023-08-25,67100,7032462,44,3.911111111111111,4.7320169252468265
2023-08-28,66800,5824628,39,3.4666666666666663,4.710860366713681
2023-08-29,66800,9114352,61,5.422222222222222,4.710860366713681
2023-08-30,67100,9181223,58,5.155555555555556,4.7320169252468265
2023-08-31,66900,15964630,62,5.511111111111111,4.717912552891397
