2023.08.30.,"국토부, 새만금 기본계획 재수립 연구용역…""사업타당성 볼것""(종합)","정부가 새만금 간척지 개발을 위한 기본계획을 재수립하기로 한 가운데 국토교통부가 이르면 내주 초 이를 위한 연구 용역에 착수한다. 국토부 고위 관계자는 29일 연합뉴스와 통화에서 새만금 기본계획 재수립과 관련, ""우선 국토부가 새만금 사회간접자본(SOC) 사업의 규모나 시기가 적정한 지에 대한 점검 절차를 밟기 위한 연구용역을 진행할 계획""이라며 ""이르면 9월 초 용역 발주 공고를 띄우고 바로 수행 기관 선정 작업에 들어갈 것 같다""고 말했다. 새만금 사업 적정성 점검을 위한 용역 결과는 이르면 내년 상반기 중 나올 것으로 예상된다. 이와 별개로 국토부 산하 기관인 새만금개발청은 기본계획 재수립을 위한 별도의 연구용역을 진행한다. 이때 기본계획을 수정 및 확정하는 절차가 동시에 진행된다. 따라서 최종 결과가 나오기까지는 최소 2년 이상 소요될 전망이다. 국토부 고위 관계자는 ""새만금개발청의 연구용역은 내년 상반기 중 시작된다""며 ""앞서 나온 적정성 점검 용역 결과 등을 반영해 기본계획 수정 방향 등을 정할 것""이라고 말했다. 이 관계자는 그러나 ""연구용역이 어떤 취지나 목적을 갖고 이뤄지는 것은 아니다""라고 강조했다. 그는 ""새만금 SOC 사업의 적정성을 두고 외부에서 지적이 계속 있으니 한번은 맞는지 틀리는지 짚어보자는 의미""라면서 ""현재 기본계획이 맞으면 맞는 대로, 틀리면 틀린 대로 결론을 열어두고 있다""고 말했다. 아울러 ""연구용역 과정에서 사업의 타당성뿐만 아니라 절차상의 문제가 없는지도 함께 들여다볼 계획""이라고 말했다. 국토부는 새 기본계획 수립이 진행되는 동안 기존 사업은 그대로 진행한다는 입장이다. 국토부 고위 관계자는 ""이미 상당 부분 진도가 나간 사업을 중단하는 것은 의미가 없다""며 ""이미 50% 이상 진도가 나간 도로나 항만 사업은 큰 이변이 없으면 그대로 할 것""이라고 말했다. 앞서 한덕수 국무총리는 새만금 SOC 사업이 확실한 경제적 효과를 올리려면 현재 시점에서 명확하게 목표를 재설정할 필요가 있다는 판단에 따라 국토부와 새만금개발청 등에 새만금 기본계획을 다시 작성할 것을 지시했다고 정부 관계자들이 전했다. 국토부는 기본계획 연구용역과는 별개로 공항, 철도, 도로 등 새만금 SOC 사업의 필요성, 타당성, 균형 발전정책 효과가 적정한 지 여부를 확인하기 위한 자체 점검을 실시키로 했다. 국토부는 이를 위해 최임락 국토도시실장을 팀장으로 하는 새만금 SOC 사업 점검 태스크포스(TF)를 구성했다. 최 실장은 ""새만금 인프라 환경 개선을 명분으로 개별법에 따라 추진해온 공항, 철도 등 사업 전반을 점검해 관련 사업에 대한 국민 의혹을 해소하겠다""고 말했다. 내년도 예산에서 새만금 관련 주요 SOC 10개 사업의 부처 반영액은 6천626억원이었으나, 기획재정부 심사 과정에서 5천147억원(75%)이 삭감됐다. , ",정치,163
2023.08.29.,美기업 7월 구인건수 880만건…2021년 3월 이후 최저 수준,"(뉴욕=연합뉴스) 이지헌 특파원 = 미국 기업들의 7월 구인 규모가 2년여 만에 최저 수준으로 하락했다. 29일(현지시간) 미 노동부가 공개한 구인·이직보고서(JOLTS)에 따르면 7월 민간기업 구인 건수는 880만건으로 전월 대비 33만8천 건(5.3%) 감소했다. 이는 지난 2021년 3월(840만 건) 이후 가장 낮은 구인 규모로, 월스트리트저널(WSJ)이 집계한 시장 전망치 950만 건도 크게 밑돌았다. 민간기업 구인 건수 감소는 그동안 과열됐던 미국 내 고용 수요가 줄어들고 있음을 시사하는 대목이다. 미 연방준비제도(Fed·연준)는 노동시장 과열이 인플레이션 고착화를 초래할 수 있다고 보고 고용 관련 지표를 눈여겨보고 있다. 제롬 파월 연방준비제도(Fed·연준) 의장은 지난 26일 잭슨홀 미팅 연설에서 ""노동시장 재균형이 지속되고 있다고 기대한다""라면서도 ""노동시장 과열 완화가 지속되지 않는다는 증거가 나온다면 이 역시 통화정책의 반응을 요구할 것""이라고 말한 바 있다. 한편 시장은 이날 나온 구인·이직 보고서에 이어 내달 1일 발표되는 7월 비농업 고용보고서 등 핵심 고용 관련 지표에서 노동시장 과열 완화 추세가 지속될지를 주목하고 있다. ",경제,0
2023.08.29.,"뉴욕증시, 국채금리 하락 속에 상승 출발","(뉴욕=연합뉴스) 윤영숙 연합인포맥스 특파원 = 뉴욕증시는 주요 지표를 앞두고 국채금리가 하락세를 보이면서 상승했다. 29일(미 동부시간) 뉴욕증권거래소(NYSE)에서 오전 10시 34분 현재 다우존스30산업평균지수는 전장보다 170.51포인트(0.49%) 오른 34,730.49를 기록 중이다. 스탠더드앤드푸어스(S&P)500지수는 전장보다 38.93포인트(0.88%) 상승한 4,472.24를, 나스닥지수는 전장보다 181.59포인트(1.32%) 뛴 13,886.72를 나타냈다. 투자자들은 이번 주에 나올 개인소비지출(PCE) 가격지수와 고용 보고서 발표를 앞두고 국채금리 하락세에 주목했다. 제롬 파월 연방준비제도(연준·Fed) 의장의 잭슨홀 연설 이후 투자자들은 연준이 추가로 금리를 인상할 근거를 찾고 있다. 이번 주 나올 PCE 가격지수와 고용 보고서에서 인플레이션과 고용에 대한 추세를 확인할 수 있을지 주목된다. 다만, 이날 나온 채용 공고와 소비자신뢰지수가 하락세를 보이면서 국채금리가 떨어진 점은 주가에 안도감을 줬다. 미국의 소비자 신뢰도를 보여주는 콘퍼런스보드의 8월 소비자신뢰지수는 106.1로 시장의 예상치인 116.0을 크게 밑돌았을 뿐만 아니라 전달 수정치인 114.0도 하회했다. 7월 채용 공고는 882만건으로 전달의 920만건에서 크게 줄었을 뿐만 아니라니라 28개월 만에 최저치를 경신했다. 시장의 예상치는 950만건이었다. 노동시장의 자신감을 보여주는 자발적 퇴직자 수는 354만건으로 전월보다 25만3천건 줄었다. 이는 2년반 만에 최저 수준으로 고용시장의 타이트함이 완화되고 있음을 시사한다. 10년물 국채금리는 전날보다 4.8bp가량 하락한 4.15% 근방으로 떨어졌고, 2년물 국채금리는 13bp가량 밀린 4.93% 근방에서 거래됐다. 최근 들어 국채금리가 연준의 추가 긴축 우려를 반영해 가파르게 오르면서 증시에 부담이 된 바 있다. 반면, 미국의 주택가격은 오름세를 보였다. S&P 코어로직 케이스-실러에 따르면 올해 6월 주택가격지수는 계절 조정 기준으로 전월대비 0.7% 올랐다. 주택가격지수는 다섯 달 연속 상승했다. 주요 10대 도시와 20대 도시의 주택 가격도 모두 계절 조정 기준 전월대비 0.9% 상승했다. S&P500지수 내 11개 업종 중에서 에너지와 필수 소비재를 제외한 9개 업종이 모두 오르고 있다. 베스트바이 주가는 분기 실적이 예상치를 웃돌았다는 소식에 3% 이상 올랐다. 통신업체 AT&T와 버라이즌의 주가는 씨티가 투자의견을 모두 중립에서 매수로 상향했다는 소식에 모두 2% 이상 올랐다. 오라클의 주가도 UBS가 투자의견을 중립에서 매수로 상향한 가운데 2% 이상 오르고 있다. 뉴욕증시 전문가들은 시장이 재료 부재 속에 당장은 지금까지 나온 재료를 소화하고 있다고 말했다. 포트 피트 캐피털의 크리스 바르토 투자 담당 애널리스트는 ""시장이 연중 고점에서 약간 후퇴하면서 현재는 많은 것을 소화하고 있는 상태다""라며 ""트레이더들은 여름휴가에서 책상으로 돌아와 월말을 맞아 포트폴리오를 들여다보고 투자를 재배정하고 있다""고 말했다. 유럽증시는 일제히 올랐다. 독일 DAX지수는 0.78% 오르고, 영국 FTSE지수는 1.62% 상승 중이다. 프랑스 CAC 지수는 0.62% 상승 중이며 범유럽지수인 STOXX600 지수는 0.94% 오르고 있다. 국제유가는 약보합권에서 움직였다. 10월물 서부텍사스산원유(WTI) 가격은 전장보다 0.14% 하락한 배럴당 79.98달러에, 10월물 브렌트유 가격은 전장보다 0.11% 밀린 배럴당 84.36달러를 기록했다. ",경제,0
2023.08.29.,"크렘린궁 ""최고위급 포함한 러·중 접촉 일정 조율 중""","(모스크바=연합뉴스) 최인영 특파원 = 러시아와 중국이 최고위급을 포함한 각급 양자 접촉을 준비하고 있다고 크렘린궁이 29일(현지시간) 밝혔다. 드미트리 페스코프 크렘린궁 대변인은 ""최고위급을 포함한 각급 러시아-중국 양자 접촉 일정이 조율되고 있다""며 구체적인 행사와 일정 등은 적절한 시기에 안내하겠다고 말했다고 로이터 통신이 보도했다. 페스코프 대변인은 블라디미르 푸틴 러시아 대통령이 오는 10월 '일대일로 포럼' 참석차 중국을 방문할 예정이라는 보도에 대한 질문을 받고 이같이 답했다. 페스코프 대변인은 전날 푸틴 대통령이 올가을 복수의 해외 방문을 계획하고 있다며, 자세한 내용은 추후 알리겠다고 밝힌 바 있다. ",세계,4
2023.08.29.,"美정부, 당뇨병 치료제 등 10개 처방약 가격 인하 첫 협상","(워싱턴=연합뉴스) 강병철 특파원 = 미국 정부가 인플레이션 감축법(IRA)에 따라 메디케어(고령자용 의료보험)에 사용되는 처방 의약품에 대한 가격 인하 협상에 처음으로 나선다. 보건복지부 산하 건강보험서비스센터(CMS)는 이를 위해 협상 대상이 되는 의약품 10종을 29일(현지시간) 발표했다. 대상 의약품은 당뇨병 치료제 '자누비아', 혈전 용해제 '엘리퀴스', 혈액암 치료제 '임브루니카', 심부전 치료제 '자디앙', 유방암 치료제 '입랜스' 등이다. 수년간 시장에 복제약이 출시되지 않은 이 의약품 처방에는 2022년 6월 1일부터 1년간 505억달러가 사용됐다. 이는 해당 기간 메디케어 파트D(전문의약품 보험)의 20% 수준이라고 CMS는 밝혔다. 이들 의약품에 대한 협상은 제조사의 동의를 얻어 2023~2024년 진행되며 CMS는 2024년 9월에 '최대 공정 가격'을 발표할 예정이다. 협상된 가격은 2026년부터 적용된다. 보건복지부는 이후 2027년 15개, 2028년 15개의 의약품에 대해 추가로 협상할 수 있으며 2029년에는 협상 대상 의약품이 연간 20개로 늘어난다. 만약 제조사가 가격 협상에 동의하지 않을 경우 메디케어 및 메디케이드(저소득층용 의료보험) 시장에서 의약품을 철수하거나 막대한 세금을 내야 한다고 CNN은 보도했다. 이에 대응해 제조사들은 가격 협상이 반(反)헌법적이라는 이유로 소송을 제기한 상태다. 이에 대해 조 바이든 대통령은 성명을 내고 ""거대 제약업체들은 정부를 상대로 8건의 소송을 냈고 진전을 막기 위해 지난해 4억 달러를 지출했는데 나는 물러서지 않을 것""이라면서 ""우리는 의료비를 낮추기 위한 싸움을 계속할 것이며 이 일이 끝날 때까지 멈추지 않을 것""이라고 밝혔다. 그는 이어 ""약값 인하가 시행되면 최대 900만명의 고령자들이 혜택을 볼 것이며 납세자들이 1천600억달러를 절약할 수 있다""면서 ""이 계획은 바이드노믹스의 핵심""이라고 ",세계,0
2023.08.29.,"메타, 中정부가 배후인 선동계정 7천여개 적발…한국어로도 운영","(뉴욕=연합뉴스) 고일환 특파원 = 중국이 영어뿐 아니라 한국어와 독일어, 프랑스어 등 다양한 외국어로 가짜 뉴스를 퍼트리고, 선동을 시도하다가 적발됐다. 뉴욕타임스(NYT)는 29일(현지시간) 페이스북과 인스타그램의 모회사 메타가 중국 정부가 배후에 있는 가짜 계정들을 삭제했다고 보도했다. 이번에 삭제된 계정은 페이스북 계정 7천704개, 페이스북 페이지 954개, 페이스북 그룹 15개, 인스타그램 계정 15개 등이다. 메타는 인스타그램과 왓츠앱, 블로그스팟 등에서도 중국 정부와 연관된 수백개의 계정을 적발했다. 중국은 다양한 국가를 겨냥해 가짜뉴스와 각종 친중(親中) 메시지를 발신하는 것으로 확인됐다. 영어뿐 아니라 한국어와 독일어, 프랑스어, 러시아어, 태국어, 웨일스어로도 메시지가 작성됐기 때문이다. 메타는 중국이 러시아의 가짜뉴스 선동 전략을 배우고 있는 것 같다고 평가했다. 앞서 러시아는 지난 2016년 미국 대선 때부터 미국 인터넷 사용자를 겨냥해 여론전을 펼쳤다.또한 중국 정부는 가짜뉴스와 친중 메시지 전파를 위해 중국 전역에 여러 개의 사무실을 두고 있으며, 교대제로 인력을 운용하는 것으로 보인다고 메타는 밝혔다. 각 사무실의 가짜 계정이 활동하는 시간대가 중국 현지 시간으로 오전부터였고, 점심과 저녁 식사 시간이 되면 일제히 활동을 중단하는 현상도 관찰됐다는 것이다. 다만 메타 측은 아직은 중국 정부의 선동이 인터넷 사용자들에게 큰 반향을 끌어내지 못하고 있다고 평가했다. 철자가 틀리는 경우가 많고, 문법도 엉망인 데다가 문맥도 맞지 않아 인터넷 사용자들이 외면한다는 것이다. 또한 같은 메시지를 하루에도 여러 번씩 올리는 등 미숙한 점도 적지 않다는 것이 메타 측의 설명이다. 메타의 보안책임자 벤 님모는 ""중국의 요원들이 다른 곳에서 복사해온 메시지를 계정에 올리기 전에 내용을 읽어보거나 퇴고를 하지 않는 것 같다""고 말했다. 다만 그는 중국의 비밀 계정에 대해 ""현재 인터넷 물밑에서 진행되는 비밀공작 중에서 가장 거대한 공작""이라고 평가했다. 메타는 최근 6년간 중국 정부가 배후로 지목되는 가짜 계정들을 모두 7회에 걸쳐 적발했다. 메타는 2016년 미국 대선 과정에서 러시아가 페이스북 가짜 계정을 통해 여론 조작에 나섰다는 사실이 알려진 후 정기적으로 가짜 계정을 단속하고 있다. ",세계,20
2023.08.29.,"[속보] 크렘린궁 ""최고위급 포함한 러·중 접촉 일정 조율 중""",,세계,4
2023.08.29.,PM orders review of Saemangeum development project from scratch,"govt-Saemangeum projectPM orders review of Saemangeum development project from scratch SEOUL, Aug. 29 (Yonhap) -- Prime Minister Han Duck-soo instructed the government Tuesday to review the development plan for the southwestern reclaimed wetland of Saemangeum from scratch in a bid to improve its economic benefits, government sources said. The nation has been pushing to turn the 409-square-kilometer reclaimed area in North Jeolla Province into a major industrial town. Saemangeum was the venue for the 2023 World Scout Jamboree, which ended up in failure earlier this month due to the scorching weather and the government's lack of preparation.Han instructed the land ministry and the Saemangeum Development and Investment Agency to rewrite the project's basic plan so that it can bring actual revival to the local economy, according to an official. The instruction came amid criticisms of slow progress of the project despite the vast amount of investment, including 6.6 trillion won (US$4.97 billion) in private investment since the launch of the Yoon Suk Yeol administration last year. One of the complaints has centered on the need to thoroughly study the need for and feasibility of various social overhead capital (SOC), including an airport, port and railways. The land ministry plans to immediately look into the SOC plans with the aim of completing the study in the first half of next year and rewrite the Saemangeum basic plan before the end of 2025, the officials said. ""The Saemangeum basic plan has been renewed regularly every five to 10 years depending on fluctuations in the economic situation,"" a government official said. The official claimed it had nothing to do with the recent uproar over the mismanagement of the 2023 World Scout Jamboree. (END)",세계,0
2023.08.29.,"'트럼프 측근' 줄리아니, 소송부담에 맨해튼 호화주택 매물로","(뉴욕=연합뉴스) 이지헌 특파원 = 트럼프 전 대통령의 최측근인 루디 줄리아니 전 뉴욕시장이 최근 뉴욕 맨해튼의 센트럴파크 인근 호화 아파트를 매물로 내놨다고 뉴욕타임스(NYT)가 29일 보도했다. 보도에 따르면 줄리아니 전 시장은 지난달 맨해튼 매디슨가와 66번가 교차로에 위치한 자신의 아파트를 650만 달러(약 86억원)에 매물로 내놨다. 어퍼 이스트 사이드로 불리는 이 일대는 뉴욕의 상류층이 모여 사는 곳으로 유명하다. 센트럴파크와 인접한 데다 각종 명품 브랜드가 줄지어 입점해 있는 곳이기도 하다. 부동산 중개인은 해당 주택에 대해 ""풍부한 햇빛과 높은 층고, 아름다운 원목마루가 있는 집""이라고 소개했다. 그는 뉴욕시장직에서 물러난 뒤인 2004년 이 아파트를 477만 달러(약 63억원)에 매입했다. 줄리아니 전 시장이 이 집을 내놓게 된 배경은 현금이 필요하기 때문으로 보인다고 NYT는 전했다. 그는 트럼프 전 대통령과 연관된 각종 소송으로 늘어난 법률비용 탓에 재정적으로 어려움에 처한 것으로 알려졌다. 줄리아니 전 시장의 변호사는 최근 한 소송에서 자신의 의뢰인 재정 상황이 사실상 파산에 가까워졌다는 점을 보여주기 위해 해당 맨해튼 아파트를 매물로 내놓은 사실을 자료로 제출하기도 했다. 트럼프 전 대통령의 최측근인 줄리아니는 지난 2020년 대선 결과를 뒤집기 위해 경합 주에서 50건이 넘는 소송을 제기하기도 했다. 그러나 각종 소송 비용이 300만 달러(약 40억 원)까지 불어나 더 이상 재정적으로 버틸 수 없는 상황이 된 것으로 전해졌다. 최근엔 2020년 미국 대선 뒤집기 시도에 관여한 혐의로 조지아주에서 기소돼 5만 달러(약 2억 원)의 보석금을 낸 뒤 석방되기도 했다. 줄리아니 전 시장은 트럼프 전 대통령에게 여러 차례 재정적 도움을 요청했지만, 실제로 지원이 이뤄지지는 않은 것으로 전해졌다. ",세계,2
2023.08.30.,[그래픽] 새만금 기본계획 주요 추진 경과,정부가 새만금 간척지를 제대로 활용할 수 있도록 '새만금 기본계획'을 다시 작성키로 한 것으로 29일 전해졌다. 여권에 따르면 한덕수 총리는 이날 새만금 기반시설(SOC) 건설사업이 확실한 경제적 효과를 올리려면 현재 시점에서 명확하게 목표를 재설정할 필요가 있다는 판단에 따라 국토교통부와 새만금개발청 등에 이같이 지시한 것으로 알려졌다.  트위터 @yonhap_graphics 페이스북 tuney.kr/LeYN1,정치,1
